id,level,title,pattern,explanation,example_1_zh,example_1_pinyin,example_1_vi,example_2_zh,example_2_pinyin,example_2_vi
g_hsk1_001,HSK1,Câu chữ 是: A là B,A + 是 + B,"Dùng 是 để giới thiệu, định danh hoặc nói A thuộc nhóm B. Không dùng 是 trước tính từ đơn giản như 好, 大, 忙.",我是学生。,Wǒ shì xuésheng.,Tôi là học sinh/sinh viên.,他是老师。,Tā shì lǎoshī.,Anh ấy là giáo viên.
g_hsk1_002,HSK1,Câu hỏi với 吗,Câu trần thuật + 吗？,Thêm 吗 vào cuối câu trần thuật để tạo câu hỏi có/không. Khi trả lời có thể lặp lại động từ/tính từ chính hoặc dùng 不/没 phủ định.,你是学生吗？,Nǐ shì xuésheng ma?,Bạn là học sinh/sinh viên à?,你喝茶吗？,Nǐ hē chá ma?,Bạn uống trà không?
g_hsk1_003,HSK1,Câu hỏi với 什么,Chủ ngữ + động từ + 什么？,"什么 nghĩa là cái gì, dùng để hỏi sự vật, hành động hoặc nội dung. Vị trí của 什么 thường nằm đúng chỗ cần hỏi trong câu.",你吃什么？,Nǐ chī shénme?,Bạn ăn gì?,这是什么？,Zhè shì shénme?,Đây là cái gì?
g_hsk1_004,HSK1,Câu hỏi với 谁,谁 + động từ / 是 + 谁？,"谁 nghĩa là ai. Có thể đứng ở vị trí chủ ngữ, tân ngữ hoặc sau 是 để hỏi người.",他是谁？,Tā shì shéi?,Anh ấy là ai?,谁是老师？,Shéi shì lǎoshī?,Ai là giáo viên?
g_hsk1_005,HSK1,Câu hỏi với 哪儿,Chủ ngữ + 在 / 去 + 哪儿？,"哪儿 dùng để hỏi địa điểm. Với 在 hỏi đang ở đâu, với 去 hỏi đi đâu.",你在哪儿？,Nǐ zài nǎr?,Bạn ở đâu?,你去哪儿？,Nǐ qù nǎr?,Bạn đi đâu?
g_hsk1_006,HSK1,的 biểu thị sở hữu,Người / đại từ + 的 + danh từ,的 nối người sở hữu với vật/người được sở hữu. Với quan hệ rất thân như 我妈妈 có thể lược bỏ 的.,这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.,他爸爸是医生。,Tā bàba shì yīshēng.,Bố anh ấy là bác sĩ.
g_hsk1_007,HSK1,Phủ định với 不,不 + động từ / tính từ,"不 dùng để phủ định thói quen, ý muốn, tính chất hoặc hành động ở hiện tại/tương lai.",我不喝茶。,Wǒ bù hē chá.,Tôi không uống trà.,他不高兴。,Tā bù gāoxìng.,Anh ấy không vui.
g_hsk1_008,HSK1,Phủ định với 没 / 没有,没 / 没有 + động từ / danh từ,没 hoặc 没有 thường phủ định việc đã xảy ra hoặc nói không có vật/người nào đó.,我没有钱。,Wǒ méiyǒu qián.,Tôi không có tiền.,他没来。,Tā méi lái.,Anh ấy chưa đến/đã không đến.
g_hsk1_009,HSK1,Câu 有: có,Chủ ngữ / địa điểm + 有 + danh từ,有 dùng để nói ai đó có thứ gì hoặc nơi nào đó có người/vật gì.,我有一个朋友。,Wǒ yǒu yí ge péngyou.,Tôi có một người bạn.,桌子上有书。,Zhuōzi shàng yǒu shū.,Trên bàn có sách.
g_hsk1_010,HSK1,在 chỉ vị trí hoặc hành động đang diễn ra,Chủ ngữ + 在 + địa điểm / 在 + động từ,"在 có thể nghĩa là ở tại một nơi, hoặc đứng trước động từ để nói đang làm gì.",我在学校。,Wǒ zài xuéxiào.,Tôi ở trường.,他在看电视。,Tā zài kàn diànshì.,Anh ấy đang xem tivi.
g_hsk1_011,HSK1,Câu tính từ với 很,Chủ ngữ + 很 + tính từ,"Trong tiếng Trung, tính từ có thể làm vị ngữ. 很 thường được thêm trước tính từ để câu tự nhiên hơn, đôi khi không nhấn mạnh 'rất'.",她很漂亮。,Tā hěn piàoliang.,Cô ấy xinh.,天气很热。,Tiānqì hěn rè.,Thời tiết nóng.
g_hsk1_012,HSK1,想: muốn / nghĩ / nhớ,想 + động từ / danh từ,"想 thường dùng để nói muốn làm gì, nghĩ về điều gì hoặc nhớ ai đó tùy ngữ cảnh.",我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.,我想妈妈。,Wǒ xiǎng māma.,Tôi nhớ mẹ.
g_hsk1_013,HSK1,会 / 能: biết làm / có thể,会 / 能 + động từ,会 nhấn mạnh kỹ năng đã học được; 能 nhấn mạnh khả năng hoặc điều kiện cho phép làm.,我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.,你能来吗？,Nǐ néng lái ma?,Bạn có thể đến không?
g_hsk1_014,HSK1,"都: đều, tất cả",Chủ ngữ số nhiều + 都 + vị ngữ,都 đứng sau chủ ngữ số nhiều để nói tất cả những người/vật đó đều có cùng hành động hoặc tính chất.,我们都是学生。,Wǒmen dōu shì xuésheng.,Chúng tôi đều là học sinh/sinh viên.,他们都喜欢茶。,Tāmen dōu xǐhuan chá.,Họ đều thích trà.
g_hsk1_015,HSK1,和: và,Danh từ + 和 + danh từ,"和 nối danh từ, đại từ hoặc cụm danh từ. Không dùng 和 để nối hai mệnh đề như 'và' trong tiếng Việt.",我和你。,Wǒ hé nǐ.,Tôi và bạn.,爸爸和妈妈在家。,Bàba hé māma zài jiā.,Bố và mẹ ở nhà.
g_hsk1_016,HSK1,Số + lượng từ + danh từ,Số + lượng từ + danh từ,"Khi đếm danh từ tiếng Trung thường cần lượng từ. 个 là lượng từ chung, 本 dùng cho sách/vở.",一个人。,Yí ge rén.,Một người.,三本书。,Sān běn shū.,Ba quyển sách.
g_hsk1_017,HSK1,几 và 多少,几 / 多少 + lượng từ + danh từ？,"几 thường hỏi số lượng nhỏ và hay đi với lượng từ. 多少 hỏi bao nhiêu, dùng linh hoạt hơn.",你有几个朋友？,Nǐ yǒu jǐ ge péngyou?,Bạn có mấy người bạn?,这个多少钱？,Zhège duōshao qián?,Cái này bao nhiêu tiền?
g_hsk1_018,HSK1,Thời gian đứng trước động từ,Chủ ngữ + thời gian + động từ,"Trong tiếng Trung, cụm thời gian thường đứng trước động từ, sau hoặc trước chủ ngữ tùy ý nhấn mạnh.",我今天学习。,Wǒ jīntiān xuéxí.,Hôm nay tôi học.,明天他去北京。,Míngtiān tā qù Běijīng.,Ngày mai anh ấy đi Bắc Kinh.
g_hsk1_019,HSK1,太...了: quá...,太 + tính từ + 了,"Dùng để nhấn mạnh mức độ rất cao, thường dịch là quá hoặc rất.",太好了！,Tài hǎo le!,Tốt quá!,今天太热了。,Jīntiān tài rè le.,Hôm nay nóng quá.
