id,level,topic,question_zh,pinyin,question_vi,sample_answer_zh,sample_answer_pinyin,sample_answer_vi,answer_guide,focus_words
q_hsk1_001,HSK1,Chào hỏi,你好！你叫什么名字？,Nǐ hǎo! Nǐ jiào shénme míngzi?,Xin chào! Bạn tên là gì?,你好！我叫安。,Nǐ hǎo! Wǒ jiào Ān.,Xin chào! Tôi tên là An.,Dùng 我叫 + tên. Khi nói tự nhiên có thể thêm 你好 ở đầu câu.,我 / 叫
q_hsk1_002,HSK1,Quốc tịch,你是哪国人？,Nǐ shì nǎ guó rén?,Bạn là người nước nào?,我是越南人。,Wǒ shì Yuènán rén.,Tôi là người Việt Nam.,Dùng 我是 + quốc tịch + 人. Không cần dùng 的.,我 / 是 / 人
q_hsk1_003,HSK1,Học tập,你学习汉语吗？,Nǐ xuéxí Hànyǔ ma?,Bạn có học tiếng Trung không?,我学习汉语，我也学习英语。,"Wǒ xuéxí Hànyǔ, wǒ yě xuéxí Yīngyǔ.","Tôi học tiếng Trung, tôi cũng học tiếng Anh.",Trả lời có/không rồi mở rộng thêm bằng 也 để giống giao tiếp tự nhiên.,学习 / 汉语
q_hsk1_004,HSK1,Gia đình,你家有几口人？,Nǐ jiā yǒu jǐ kǒu rén?,Nhà bạn có mấy người?,我家有四口人：爸爸、妈妈、哥哥和我。,"Wǒ jiā yǒu sì kǒu rén: bàba, māma, gēge hé wǒ.","Nhà tôi có bốn người: bố, mẹ, anh trai và tôi.",Dùng 我家有 + số + 口人. Liệt kê người trong gia đình bằng 和.,我家 / 有 / 口人
q_hsk1_005,HSK1,Ăn uống,你喜欢喝茶吗？,Nǐ xǐhuan hē chá ma?,Bạn thích uống trà không?,我喜欢喝茶，但是我不喜欢喝咖啡。,"Wǒ xǐhuan hē chá, dànshì wǒ bù xǐhuan hē kāfēi.","Tôi thích uống trà, nhưng tôi không thích uống cà phê.",HSK1 có thể trả lời đơn giản: 我喜欢/我不喜欢. Nếu muốn tự nhiên hơn thêm 但是.,喜欢 / 喝 / 茶
q_hsk1_006,HSK1,Thời gian,你今天忙吗？,Nǐ jīntiān máng ma?,Hôm nay bạn bận không?,我今天很忙，明天有时间。,"Wǒ jīntiān hěn máng, míngtiān yǒu shíjiān.","Hôm nay tôi rất bận, ngày mai tôi có thời gian.",Đặt thời gian 今天/明天 trước động từ hoặc tính từ để câu rõ ràng.,今天 / 忙 / 明天
q_hsk1_007,HSK1,Địa điểm,你在哪儿学习？,Nǐ zài nǎr xuéxí?,Bạn học ở đâu?,我在学校学习汉语。,Wǒ zài xuéxiào xuéxí Hànyǔ.,Tôi học tiếng Trung ở trường.,Mẫu: 我在 + địa điểm + học/làm việc.,在 / 学校 / 学习
q_hsk1_008,HSK1,Mua đồ,你想买什么？,Nǐ xiǎng mǎi shénme?,Bạn muốn mua gì?,我想买一本书和一杯茶。,Wǒ xiǎng mǎi yì běn shū hé yì bēi chá.,Tôi muốn mua một quyển sách và một cốc trà.,"Dùng 想买 + đồ vật. Chú ý lượng từ: 一本书, 一杯茶.",想 / 买
q_hsk1_009,HSK1,Sức khỏe,你今天怎么样？,Nǐ jīntiān zěnmeyàng?,Hôm nay bạn thế nào?,我今天很好，谢谢。,"Wǒ jīntiān hěn hǎo, xièxie.","Hôm nay tôi khỏe/tốt, cảm ơn.",Mẫu giao tiếp rất thông dụng: 我今天很好，谢谢.,今天 / 很好 / 谢谢
q_hsk1_010,HSK1,Sở thích,你喜欢看电影吗？,Nǐ xǐhuan kàn diànyǐng ma?,Bạn thích xem phim không?,我喜欢看电影，也喜欢听音乐。,"Wǒ xǐhuan kàn diànyǐng, yě xǐhuan tīng yīnyuè.","Tôi thích xem phim, cũng thích nghe nhạc.",Dùng 也 để mở rộng câu trả lời tự nhiên hơn.,喜欢 / 看电影 / 也
