id,level,topic,vi_sentence,answer_zh,pinyin,grammar_focus,focus_words
daily_vi_0001,HSK1,Mua đồ,Hôm nay tôi muốn đi trường học mua một ít trái cây.,我今天想去学校买一点儿水果。,wǒ jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 水果
daily_vi_0002,HSK1,Mua đồ,Hôm nay tôi muốn đi trường học mua một ít trà.,我今天想去学校买一点儿茶。,wǒ jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 茶
daily_vi_0003,HSK1,Mua đồ,Hôm nay tôi muốn đi trường học mua một ít cơm.,我今天想去学校买一点儿米饭。,wǒ jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 米饭
daily_vi_0004,HSK1,Mua đồ,Hôm nay tôi muốn đi trường học mua một ít quần áo.,我今天想去学校买一点儿衣服。,wǒ jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 衣服
daily_vi_0005,HSK1,Mua đồ,Hôm nay tôi muốn đi trường học mua một ít sách.,我今天想去学校买一点儿书。,wǒ jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 书
daily_vi_0006,HSK1,Mua đồ,Hôm nay tôi muốn đi trường học mua một ít nước.,我今天想去学校买一点儿水。,wǒ jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 水
daily_vi_0007,HSK1,Mua đồ,Hôm nay tôi muốn đi bệnh viện mua một ít trái cây.,我今天想去医院买一点儿水果。,wǒ jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 水果
daily_vi_0008,HSK1,Mua đồ,Hôm nay tôi muốn đi bệnh viện mua một ít trà.,我今天想去医院买一点儿茶。,wǒ jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 茶
daily_vi_0009,HSK1,Mua đồ,Hôm nay tôi muốn đi bệnh viện mua một ít cơm.,我今天想去医院买一点儿米饭。,wǒ jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 米饭
daily_vi_0010,HSK1,Mua đồ,Hôm nay tôi muốn đi bệnh viện mua một ít quần áo.,我今天想去医院买一点儿衣服。,wǒ jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 衣服
