id,level,title,pattern,meaning_vi,native_note,common_mistake,example_zh,example_pinyin,example_vi
hsk1_g01,HSK1,Câu chữ 是: A là B,A + 是 + B,"Dùng để giới thiệu danh tính, nghề nghiệp, quốc tịch, quan hệ.","Trong nói chuyện, 是 rất chắc: A chính là B. Không dùng 是 trước tính từ đơn giản như 好/忙/大.",Sai: 我是很好。Đúng: 我很好。,我不是老师。,Wǒ bú shì lǎoshī.,Tôi không phải giáo viên.
hsk1_g02,HSK1,Câu hỏi với 吗,Câu trần thuật + 吗？,Biến một câu bình thường thành câu hỏi có/không.,"Người bản địa dùng 吗 khi thật sự muốn xác nhận thông tin, giọng điệu nhẹ.",Không thêm 吗 vào câu đã có từ hỏi như 什么/谁/哪儿.,你是学生吗？,Nǐ shì xuésheng ma?,Bạn là học sinh/sinh viên à?
hsk1_g03,HSK1,Câu hỏi 什么,什么 đặt đúng vị trí cần hỏi,"Hỏi “cái gì”, “gì”, “loại gì”.",Không đưa 什么 lên đầu câu theo kiểu tiếng Việt; nó nằm ở vị trí của thông tin còn thiếu.,Sai: 什么你喝？Đúng: 你喝什么？,你喝什么？,Nǐ hē shénme?,Bạn uống gì?
hsk1_g04,HSK1,Câu hỏi 谁,谁 thay cho người cần hỏi,"Dùng để hỏi ai, có thể làm chủ ngữ hoặc tân ngữ.",Cứ đặt 谁 vào đúng chỗ người chưa biết.,Không cần thêm 吗.,他是谁？,Tā shì shéi?,Anh ấy là ai?
hsk1_g05,HSK1,Câu hỏi 哪儿,在/去 + 哪儿？,"Hỏi nơi ở, nơi đến, vị trí.",在 hỏi đang ở đâu; 去 hỏi đi đâu.,Sai: 你在哪儿去？,你去哪儿？,Nǐ qù nǎr?,Bạn đi đâu?
hsk1_g06,HSK1,Câu hỏi 哪 + danh từ,哪 + lượng từ/danh từ,"Hỏi “cái nào”, “nơi nào”, “người nào”.","Khi danh từ đếm được, thường thêm lượng từ.","Chú ý 哪儿 là “ở đâu”, 哪 là “nào”.",你是哪国人？,Nǐ shì nǎ guó rén?,Bạn là người nước nào?
hsk1_g07,HSK1,Câu hỏi 几,几 + lượng từ + danh từ,"Hỏi số lượng nhỏ, thường dự đoán dưới 10.","Dùng rất nhiều khi hỏi tuổi, ngày, mấy người, mấy quyển.",几 thường cần lượng từ phía sau.,你有几个朋友？,Nǐ yǒu jǐ ge péngyou?,Bạn có mấy người bạn?
hsk1_g08,HSK1,Câu hỏi 多少,多少 + danh từ / 多少钱,"Hỏi bao nhiêu, dùng được cho số lượng lớn hoặc giá tiền.","Khi hỏi giá, nói 多少钱 là tự nhiên nhất.",Không cần lượng từ bắt buộc sau 多少 trong nhiều trường hợp.,这个多少钱？,Zhège duōshao qián?,Cái này bao nhiêu tiền?
hsk1_g09,HSK1,Trợ từ 的: sở hữu,Người + 的 + danh từ,Nối người sở hữu với vật/người được sở hữu.,Với quan hệ thân thuộc có thể bỏ 的: 我妈妈 tự nhiên hơn 我的妈妈 trong nhiều ngữ cảnh.,Đừng dùng 的 sau mọi đại từ nếu không cần.,这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
hsk1_g10,HSK1,Trợ từ 的: định ngữ,Tính chất/cụm miêu tả + 的 + danh từ,Dùng để gắn thông tin miêu tả trước danh từ.,Cấu trúc này giống “danh từ mà có đặc điểm…” trong tiếng Việt.,Tính từ một âm tiết đôi khi không cần 的 trong cụm quen thuộc.,漂亮的衣服。,Piàoliang de yīfu.,Quần áo đẹp.
